age,gaming_hours,study_hours,sleep_hours,attendance,social_activity,device_usage,reaction_time_ms,addiction_score,gender_Male,gender_Other,genre_Casual,genre_FPS,genre_RPG,stress_level_ord,gaming_hours_sq,gaming_hours_x_FPS,gaming_hours_x_RPG,gaming_study_ratio,total_load
22,2.31,4.46,7.81,98.29,3.68,7.6,288.18,4.17,False,False,True,False,False,1,5.3361,0.0,0.0,0.5167785234899329,6.77
21,4.99,3.45,5.82,90.59,3.01,9.93,254.85,12.71,True,False,False,True,False,1,24.900100000000002,4.99,0.0,1.4421965317919077,8.440000000000001
21,7.14,7.64,8.97,87.22,0.3,9.37,225.75,14.05,False,False,False,True,False,0,50.9796,7.14,0.0,0.9333333333333333,14.78
19,3.52,9.59,7.16,84.28,4.61,5.31,276.24,7.44,False,False,True,False,False,1,12.3904,0.0,0.0,0.3666666666666667,13.11
16,0.76,1.52,6.42,70.51,1.17,5.98,310.51,6.39,True,False,False,True,False,1,0.5776,0.76,0.0,0.49673202614379086,2.2800000000000002
21,5.91,9.63,6.51,86.28,1.87,11.48,263.52,13.52,False,False,False,False,True,0,34.9281,0.0,5.91,0.6130705394190871,15.540000000000001
20,0.14,8.87,6.05,67.41,2.09,2.55,313.98,-0.29,True,False,False,True,False,1,0.019600000000000003,0.14,0.0,0.015765765765765768,9.01
17,4.61,7.77,5.99,97.06,0.88,10.49,262.68,12.6,True,False,False,True,False,2,21.252100000000002,4.61,0.0,0.5925449871465297,12.379999999999999
17,4.68,8.96,8.1,66.45,0.14,8.67,260.32,13.53,False,False,False,True,False,1,21.902399999999997,4.68,0.0,0.5217391304347826,13.64
21,6.32,2.15,8.57,60.77,1.91,10.17,255.5,16.88,True,False,False,True,False,0,39.942400000000006,6.32,0.0,2.9259259259259265,8.47
17,6.59,5.07,6.9,65.6,2.38,9.25,235.23,13.19,False,False,False,True,False,0,43.4281,6.59,0.0,1.297244094488189,11.66
18,0.09,7.7,8.76,86.7,4.9,5.67,320.44,2.49,True,False,True,False,False,1,0.0081,0.0,0.0,0.011673151750972763,7.79
21,2.28,6.71,6.8,85.1,1.88,6.52,303.33,3.96,False,False,False,False,True,1,5.1983999999999995,0.0,2.28,0.33928571428571425,8.99
22,2.48,9.97,8.44,70.21,0.57,8.4,280.55,5.71,True,False,False,True,False,1,6.1504,2.48,0.0,0.24849699398797595,12.450000000000001
17,0.25,4.04,8.0,92.46,0.72,5.59,328.07,3.34,True,False,False,False,True,1,0.0625,0.0,0.25,0.0617283950617284,4.29
24,2.59,7.12,5.87,70.28,2.48,3.91,299.53,11.77,False,False,False,False,True,2,6.708099999999999,0.0,2.59,0.36325385694249646,9.71
20,6.68,8.94,7.51,86.76,3.31,8.01,238.13,16.3,True,False,True,False,False,0,44.6224,0.0,0.0,0.7463687150837989,15.62
23,4.42,5.96,7.19,82.86,4.42,8.91,285.5,9.65,True,False,False,False,True,1,19.5364,0.0,4.42,0.7403685092127303,10.379999999999999
