Model,Short_name,Feature,Importance
Gradient Boosting,gradient_boosting,gaming_study_ratio,0.7699639803625381
Gradient Boosting,gradient_boosting,study_hours,0.10442804481653833
Gradient Boosting,gradient_boosting,sleep_hours,0.06182076907456833
Gradient Boosting,gradient_boosting,attendance,0.02370252199518283
Gradient Boosting,gradient_boosting,total_load,0.007729715597970621
Gradient Boosting,gradient_boosting,gaming_hours,0.007355611865497829
Gradient Boosting,gradient_boosting,gaming_hours_sq,0.0071655207841367675
Gradient Boosting,gradient_boosting,gaming_over_2_5h,0.006006288172070628
Gradient Boosting,gradient_boosting,gaming_over_2h,0.004980970272978614
Gradient Boosting,gradient_boosting,gaming_over_1_5h,0.002969149262613953
Gradient Boosting,gradient_boosting,stress_level_ord,0.0008751264002445685
Gradient Boosting,gradient_boosting,device_usage,0.0007443278307171914
Gradient Boosting,gradient_boosting,addiction_score,0.0007379182143648672
Gradient Boosting,gradient_boosting,social_activity,0.0006602075335932527
Gradient Boosting,gradient_boosting,gaming_hours_x_FPS,0.0003940786171929723
Gradient Boosting,gradient_boosting,gaming_hours_x_RPG,0.00016076855542570848
Gradient Boosting,gradient_boosting,age,0.00013505844621606756
Gradient Boosting,gradient_boosting,gaming_within_2h,0.0001235539832779157
Gradient Boosting,gradient_boosting,genre_RPG,2.4419155245300178e-05
Gradient Boosting,gradient_boosting,gender_Other,8.932465627193646e-06
Gradient Boosting,gradient_boosting,gender_Male,7.760661018002549e-06
Gradient Boosting,gradient_boosting,genre_FPS,4.132851179542732e-06
Gradient Boosting,gradient_boosting,genre_Casual,1.1430818014179176e-06
Random Forest,random_forest,gaming_study_ratio,0.755228510826939
Random Forest,random_forest,study_hours,0.09857629853783977
Random Forest,random_forest,sleep_hours,0.06315159316806279
Random Forest,random_forest,attendance,0.02667268801964176
Random Forest,random_forest,total_load,0.008117632050903415
Random Forest,random_forest,gaming_hours_sq,0.005529247899755709
Random Forest,random_forest,gaming_over_1_5h,0.005490117175961295
Random Forest,random_forest,gaming_hours,0.005340332996869578
Random Forest,random_forest,gaming_over_2_5h,0.004960883235864544
Random Forest,random_forest,gaming_over_2h,0.004927439718896365
Random Forest,random_forest,device_usage,0.004714141283891091
Random Forest,random_forest,social_activity,0.004697064734993758
Random Forest,random_forest,addiction_score,0.004690343874218903
Random Forest,random_forest,age,0.0026606764309990314
Random Forest,random_forest,gaming_hours_x_FPS,0.0017436333206524155
Random Forest,random_forest,gaming_hours_x_RPG,0.001115508042496834
Random Forest,random_forest,gender_Male,0.0008002054913369783
Random Forest,random_forest,genre_Casual,0.0004949516320381813
Random Forest,random_forest,stress_level_ord,0.00043041001970349014
Random Forest,random_forest,gaming_within_2h,0.00021969908196089566
Random Forest,random_forest,genre_FPS,0.0002076779515159426
Random Forest,random_forest,genre_RPG,0.00019700681473776467
Random Forest,random_forest,gender_Other,3.3937690720711974e-05
